chain,iter,beta,score_soxR,score_cpxR
0,4770,0.052930000000000005,-13992.0,-2412.0
0,4780,0.053020000000000005,-11789.0,-2636.0
0,4790,0.053110000000000004,-15399.0,-4196.0
0,4800,0.053200000000000004,-17372.0,-2277.0
0,4810,0.053290000000000004,-13977.0,-3983.0
0,4820,0.053380000000000004,-8517.0,-3443.0
0,4830,0.053470000000000004,-16548.0,-3937.0
0,4840,0.05356,-12589.0,-2320.0
0,4850,0.05365,-12309.0,-3500.0
0,4860,0.05374,-8720.0,-4752.0
0,4870,0.05383,-14274.0,-6282.0
0,4880,0.05392000000000001,-17012.0,-4618.0
0,4890,0.05401000000000001,-16185.0,-696.0
0,4900,0.05410000000000001,-15031.0,-4833.0
0,4910,0.05419000000000001,-12786.0,-3936.0
0,4920,0.05428000000000001,-14888.0,-4901.0
0,4930,0.05437000000000001,-12349.0,-4092.0
0,4940,0.05446000000000001,-14281.0,-4155.0
0,4950,0.05455000000000001,-14399.0,-5005.0
0,4960,0.05464000000000001,-17612.0,-3944.0
0,4970,0.05473000000000001,-15064.0,-4658.0
0,4980,0.05482000000000001,-16192.0,-5578.0
0,4990,0.05491000000000001,-9745.0,-4019.0
0,5000,0.05500000000000001,-13066.0,-6260.0
0,5010,0.05509000000000001,-15249.0,-4864.0
0,5020,0.05518000000000001,-15325.0,-5029.0
0,5030,0.05527000000000001,-13061.0,-4605.0
0,5040,0.055360000000000006,-15748.0,-5233.0
0,5050,0.055450000000000006,-12546.0,-941.0
0,5060,0.055540000000000006,-11901.0,-838.0
0,5070,0.055630000000000006,-14283.0,-5140.0
0,5080,0.055720000000000006,-12928.0,-5673.0
0,5090,0.055810000000000005,-16963.0,-5045.0
0,5100,0.055900000000000005,-14034.0,-4372.0
0,5110,0.055990000000000005,-15097.0,-5343.0
0,5120,0.056080000000000005,-17893.0,-3966.0
0,5130,0.05617000000000001,-15389.0,-4284.0
0,5140,0.05626000000000001,-14322.0,-4053.0
0,5150,0.05635000000000001,-10926.0,-3459.0
0,5160,0.05644000000000001,-14872.0,-3992.0
0,5170,0.05653000000000001,-11830.0,-5120.0
0,5180,0.05662000000000001,-12126.0,-4388.0
0,5190,0.05671000000000001,-13086.0,-4604.0
0,5200,0.05680000000000001,-15695.0,-3687.0
0,5210,0.05689000000000001,-13919.0,-4843.0
0,5220,0.05698000000000001,-14539.0,-2584.0
0,5230,0.05707000000000001,-11156.0,-3216.0
0,5240,0.05716000000000001,-14308.0,-4704.0
0,5250,0.05725000000000001,-13364.0,-2264.0
0,5260,0.05734000000000001,-11686.0,-4843.0
0,5270,0.05743000000000001,-11495.0,-4072.0
0,5280,0.05752000000000001,-16845.0,-5775.0
0,5290,0.05761000000000001,-15446.0,-2953.0
0,5300,0.05770000000000001,-14232.0,-4853.0
0,5310,0.05779000000000001,-13379.0,-4403.0
0,5320,0.05788000000000001,-17462.0,-4463.0
0,5330,0.05797000000000001,-14870.0,-4725.0
0,5340,0.05806000000000001,-12767.0,-3219.0
0,5350,0.05815000000000001,-12944.0,-6127.0
0,5360,0.05824000000000001,-15420.0,-5702.0
0,5370,0.058330000000000014,-13733.0,-4348.0
0,5380,0.058420000000000014,-15629.0,-5013.0
0,5390,0.05851000000000001,-15751.0,-3218.0
0,5400,0.05860000000000001,-14173.0,-5434.0
0,5410,0.05869000000000001,-14366.0,-5464.0
0,5420,0.05878000000000001,-13033.0,-4890.0
0,5430,0.05887000000000001,-14332.0,-3923.0
0,5440,0.05896000000000001,-14337.0,-3798.0
0,5450,0.05905000000000001,-15459.0,-5410.0
0,5460,0.05914000000000001,-19105.0,-5236.0
0,5470,0.05923000000000001,-15249.0,-5311.0
0,5480,0.05932000000000001,-16130.0,-5996.0
0,5490,0.05941000000000001,-14794.0,-3819.0
0,5500,0.05950000000000001,-15564.0,-4826.0
0,5510,0.05959000000000001,-14347.0,-4629.0
0,5520,0.05968000000000001,-14364.0,-3435.0
0,5530,0.05977000000000001,-13065.0,-1872.0
0,5540,0.05986000000000001,-8033.0,-4814.0
0,5550,0.05995000000000001,-13811.0,-5374.0
0,5560,0.06004000000000001,-9230.0,-5860.0
0,5570,0.06013000000000001,-10281.0,-4014.0
0,5580,0.06022000000000001,-9737.0,-4246.0
0,5590,0.06031000000000001,-11873.0,-4059.0
0,5600,0.06040000000000001,-15654.0,-3992.0
0,5610,0.060490000000000016,-15780.0,-2446.0
0,5620,0.060580000000000016,-15550.0,-5347.0
0,5630,0.06067,-16492.0,-7098.0
0,5640,0.06076,-15780.0,-3432.0
0,5650,0.06085,-16031.0,-5771.0
0,5660,0.06094,-12553.0,-1474.0
0,5670,0.06103,-12909.0,-3826.0
0,5680,0.06112,-15672.0,-4912.0
0,5690,0.06121,-13472.0,-1936.0
0,5700,0.0613,-13401.0,-5796.0
